"season","training.date","athlete","tl"
"Fall 2017","2017-08-19","Rhiannon Garcia",632
"Fall 2017","2017-08-19","Shajee'a al-Amiri",1035
"Fall 2017","2017-08-19","Brittany Valdez",948
"Fall 2017","2017-08-19","Urja Chaudhry",1264
"Fall 2017","2017-08-19","Kayla Mix",1242
"Fall 2017","2017-08-19","Mariana Lewis",948
"Fall 2017","2017-08-19","Nicole Tipton",948
"Fall 2017","2017-08-19","Marshelle Edwards",948
"Fall 2017","2017-08-19","Cinoi Slovonsky",1095
"Fall 2017","2017-08-20","Mariana Lewis",1112
"Fall 2017","2017-08-20","Shajee'a al-Amiri",860
"Fall 2017","2017-08-20","Brittany Valdez",1044
"Fall 2017","2017-08-20","Urja Chaudhry",740
"Fall 2017","2017-08-20","Kayla Mix",552
"Fall 2017","2017-08-20","Rhiannon Garcia",740
"Fall 2017","2017-08-20","Nicole Tipton",864
"Fall 2017","2017-08-20","Marshelle Edwards",1104
"Fall 2017","2017-08-20","Cinoi Slovonsky",800
"Fall 2017","2017-08-21","Shajee'a al-Amiri",1062
"Fall 2017","2017-08-21","Brittany Valdez",1062
"Fall 2017","2017-08-21","Urja Chaudhry",1002
"Fall 2017","2017-08-21","Nicole Tipton",1062
"Fall 2017","2017-08-21","Marshelle Edwards",1062
"Fall 2017","2017-08-21","Cinoi Slovonsky",885
"Fall 2017","2017-08-21","Rhiannon Garcia",885
"Fall 2017","2017-08-21","Mariana Lewis",1002
"Fall 2017","2017-08-21","Kayla Mix",468
"Fall 2017","2017-08-22","Kayla Mix",528
"Fall 2017","2017-08-22","Urja Chaudhry",528
"Fall 2017","2017-08-22","Brittany Valdez",528
"Fall 2017","2017-08-22","Marshelle Edwards",396
"Fall 2017","2017-08-22","Shajee'a al-Amiri",528
"Fall 2017","2017-08-22","Rhiannon Garcia",528
"Fall 2017","2017-08-22","Nicole Tipton",528
"Fall 2017","2017-08-22","Cinoi Slovonsky",528
"Fall 2017","2017-08-22","Mariana Lewis",528
"Fall 2017","2017-08-23","Brittany Valdez",720
"Fall 2017","2017-08-23","Urja Chaudhry",720
"Fall 2017","2017-08-23","Mariana Lewis",720
"Fall 2017","2017-08-23","Shajee'a al-Amiri",720
"Fall 2017","2017-08-23","Nicole Tipton",720
"Fall 2017","2017-08-23","Marshelle Edwards",720
"Fall 2017","2017-08-23","Cinoi Slovonsky",600
"Fall 2017","2017-08-23","Rhiannon Garcia",600
"Fall 2017","2017-08-23","Kayla Mix",480
"Fall 2017","2017-08-24","Kayla Mix",0
"Fall 2017","2017-08-24","Brittany Valdez",0
"Fall 2017","2017-08-24","Shajee'a al-Amiri",0
"Fall 2017","2017-08-24","Urja Chaudhry",0
"Fall 2017","2017-08-24","Mariana Lewis",0
"Fall 2017","2017-08-24","Nicole Tipton",0
"Fall 2017","2017-08-24","Marshelle Edwards",0
"Fall 2017","2017-08-24","Rhiannon Garcia",0
"Fall 2017","2017-08-24","Cinoi Slovonsky",0
"Fall 2017","2017-08-25","Mariana Lewis",696
"Fall 2017","2017-08-25","Shajee'a al-Amiri",696
"Fall 2017","2017-08-25","Brittany Valdez",696
"Fall 2017","2017-08-25","Urja Chaudhry",696
"Fall 2017","2017-08-25","Kayla Mix",870
"Fall 2017","2017-08-25","Rhiannon Garcia",696
"Fall 2017","2017-08-25","Nicole Tipton",696
"Fall 2017","2017-08-25","Marshelle Edwards",696
"Fall 2017","2017-08-25","Cinoi Slovonsky",696
"Fall 2017","2017-08-26","Shajee'a al-Amiri",480
"Fall 2017","2017-08-26","Brittany Valdez",600
"Fall 2017","2017-08-26","Urja Chaudhry",480
"Fall 2017","2017-08-26","Mariana Lewis",600
"Fall 2017","2017-08-26","Nicole Tipton",480
"Fall 2017","2017-08-26","Marshelle Edwards",720
"Fall 2017","2017-08-26","Cinoi Slovonsky",600
"Fall 2017","2017-08-26","Rhiannon Garcia",480
"Fall 2017","2017-08-26","Kayla Mix",480
"Fall 2017","2017-08-27","Rhiannon Garcia",0
"Fall 2017","2017-08-27","Shajee'a al-Amiri",0
"Fall 2017","2017-08-27","Brittany Valdez",0
"Fall 2017","2017-08-27","Urja Chaudhry",0
"Fall 2017","2017-08-27","Kayla Mix",0
"Fall 2017","2017-08-27","Mariana Lewis",0
"Fall 2017","2017-08-27","Nicole Tipton",0
"Fall 2017","2017-08-27","Marshelle Edwards",0
"Fall 2017","2017-08-27","Cinoi Slovonsky",0
"Fall 2017","2017-08-28","Shajee'a al-Amiri",1223
"Fall 2017","2017-08-28","Brittany Valdez",1330
"Fall 2017","2017-08-28","Urja Chaudhry",1330
"Fall 2017","2017-08-28","Rhiannon Garcia",957
"Fall 2017","2017-08-28","Nicole Tipton",1064
"Fall 2017","2017-08-28","Marshelle Edwards",1544
"Fall 2017","2017-08-28","Cinoi Slovonsky",957
"Fall 2017","2017-08-28","Kayla Mix",1223
"Fall 2017","2017-08-28","Mariana Lewis",428
"Fall 2017","2017-08-29","Brittany Valdez",336
"Fall 2017","2017-08-29","Urja Chaudhry",420
"Fall 2017","2017-08-29","Mariana Lewis",0
"Fall 2017","2017-08-29","Nicole Tipton",420
"Fall 2017","2017-08-29","Marshelle Edwards",420
"Fall 2017","2017-08-29","Cinoi Slovonsky",420
"Fall 2017","2017-08-29","Rhiannon Garcia",420
"Fall 2017","2017-08-29","Shajee'a al-Amiri",420
"Fall 2017","2017-08-29","Kayla Mix",336
"Fall 2017","2017-08-30","Kayla Mix",850
"Fall 2017","2017-08-30","Brittany Valdez",1020
