"athlete","trainingDate","season","rpetl"
"Benjamin Babatunde",2015-08-12,"Fall 2015",380
"Joo Garand",2015-08-12,"Fall 2015",460
"Aiden Jaeger",2015-08-12,"Fall 2015",570
"Tony Cha",2015-08-12,"Fall 2015",620
"Kevin Querubin",2015-08-12,"Fall 2015",590
"Joaquin Martinez",2015-08-12,"Fall 2015",510
"Rocky Mccarty",2015-08-12,"Fall 2015",460
"Keandre Johnson",2015-08-12,"Fall 2015",810
"Scott Lucero",2015-08-12,"Fall 2015",570
"Max Zuniga",2015-08-12,"Fall 2015",620
"Torben Mcclelland",2015-08-12,"Fall 2015",650
"Steve Galligan",2015-08-12,"Fall 2015",710
"Marzooq al-Fahs",2015-08-12,"Fall 2015",650
"Muhaajir al-Mirza",2015-08-12,"Fall 2015",520
"Shawn James",2015-08-12,"Fall 2015",760
"Andrew Ortiz-Gonzales",2015-08-12,"Fall 2015",670
"Taaha el-Qazi",2015-08-12,"Fall 2015",650
"David Tarango Sandoval",2015-08-12,"Fall 2015",620
"Lawrence Tamayo",2015-08-12,"Fall 2015",520
"Husaam al-Ishak",2015-08-12,"Fall 2015",500
"Bishr el-Hamdan",2015-08-12,"Fall 2015",580
"Arun Bruckner",2015-08-12,"Fall 2015",660
"Jungsoo Moua",2015-08-12,"Fall 2015",120
"Mori Tani",2015-08-12,"Fall 2015",650
"Saleem el-Sham",2015-08-12,"Fall 2015",600
"Naadir el-Mahdavi",2015-08-12,"Fall 2015",460
"Tayyib al-Wahab",2015-08-12,"Fall 2015",650
"Brandon Troxel",2015-08-12,"Fall 2015",650
"Aqeel al-Hossain",2015-08-12,"Fall 2015",380
"Darin Russell",2015-08-12,"Fall 2015",480
"Benjamin Babatunde",2015-08-13,"Fall 2015",650
"Joo Garand",2015-08-13,"Fall 2015",650
"Aiden Jaeger",2015-08-13,"Fall 2015",560
"Tony Cha",2015-08-13,"Fall 2015",465
"Kevin Querubin",2015-08-13,"Fall 2015",285
"Joaquin Martinez",2015-08-13,"Fall 2015",835
"Rocky Mccarty",2015-08-13,"Fall 2015",555
"Keandre Johnson",2015-08-13,"Fall 2015",465
"Scott Lucero",2015-08-13,"Fall 2015",650
"Max Zuniga",2015-08-13,"Fall 2015",650
"Torben Mcclelland",2015-08-13,"Fall 2015",555
"Steve Galligan",2015-08-13,"Fall 2015",740
"Marzooq al-Fahs",2015-08-13,"Fall 2015",555
"Muhaajir al-Mirza",2015-08-13,"Fall 2015",745
"Shawn James",2015-08-13,"Fall 2015",650
"Andrew Ortiz-Gonzales",2015-08-13,"Fall 2015",465
"Taaha el-Qazi",2015-08-13,"Fall 2015",745
"Lawrence Tamayo",2015-08-13,"Fall 2015",650
"Husaam al-Ishak",2015-08-13,"Fall 2015",645
"Bishr el-Hamdan",2015-08-13,"Fall 2015",650
"Arun Bruckner",2015-08-13,"Fall 2015",840
"Jungsoo Moua",2015-08-13,"Fall 2015",285
"Mori Tani",2015-08-13,"Fall 2015",650
"Saleem el-Sham",2015-08-13,"Fall 2015",555
